Code dossier BHL,Rubrique courte,Sexe,Statut,Statut religieux,Rubrique,Relations : Dossiers BHL / Codes BHL,Relations : Dossiers BHL / Saints,type.canondate
Auctor01,Auctor ep. Mettensis,homme,ecclésiastique,séculier,Auctor ep. Mettensis,"['BHL 0746 | Narratio auct. Paulo Diac. (in libro de ep. Mettensibus.)', 'BHL Auctor01 |']",['Auctor (359)'],
Auctor02,Auctor ep. Treverensis,homme,ecclésiastique,séculier,Auctor ep. Treverensis,"['BHL 0747 | Vita', 'BHL 0747b | Vita', 'BHL 0748 | Translatio Brunsvicum saec. XII', 'BHL 0749 | Miracula Brunsvici', 'BHL Auctor02 |']",['Auctor (360)'],
Audebertus,Audebertus comes Austrebandiae,homme,laïc,séculier,Audebertus comes Austrebandiae,"['BHL 0749d | Vita', 'BHL Audebertus |']",['Audebertus (3377)'],
Audoenus,Audoenus ep. Rotomagensis,homme,ecclésiastique,séculier,Audoenus seu Dado ep. Rotomagensis,"['BHL 0750 | Vita', 'BHL 0751 | Vita (perperam adscripta Fridegodo)', 'BHL 0751a | Vita preperam adscripta Fridegodo mon. Cantuariensis', 'BHL 0751b | Vita preperam adscripta Fridegodo mon. Cantuariensis. Additamentum in vita', 'BHL 0752 | Vita (aliquando desunt ultima capitula)', 'BHL 0753 | Vita', 'BHL 0753d | Vita', 'BHL 0754 | Vita metrica auct. Theodorico', 'BHL 0754b | Sermo de vita et miraculis', 'BHL 0754d | Vita rhythmica', 'BHL 0755 | Narratio', 'BHL 0755a | Inc.', 'BHL 0755b | Inc.', 'BHL 0755d | Sermo de translatione facta saec. VII extr.', 'BHL 0756 | Translatio an. 918 (sermo Iohannis diac.)', 'BHL 0757 | Translatio an. 941 (sermo eiusdem)', 'BHL 0758 | Inventio reliquiarum Cantuariae, auct. Eadmero', 'BHL 0759 | Epitome vitae (2) et inventionis (8)', 'BHL 0760 | Miracula auct. Fulberto', 'BHL 0761 | Miracula', 'BHL 0762 | Miracula', 'BHL Audoenus |']",['Audoenus (364)'],
Audomarus,Audomarus ep. Tarvannensis,homme,ecclésiastique,séculier,Audomarus ep. Tarvannensis,"['BHL 0763 | Vita SS. Audomari, Bertini et Winnoci', 'BHL 0764 | Vita', 'BHL 0765 | Vita', 'BHL 0766 | Vita', 'BHL 0767 | Vita', 'BHL 0767d | Vita et miracula', 'BHL 0767e | Inc.', 'BHL 0767f | Quorum temporibus fuit B. A. Morinorum ep.', 'BHL 0768 | Vita', 'BHL 0769 | Vita', 'BHL 0770 | Vita', 'BHL 0771 | Vita', 'BHL 0772 | Vita Metrica', 'BHL 0773 | Miracula', 'BHL 0774 | Miraculum in delatione Corporis S. Audomari Ultra Rhenum', 'BHL 0775 | Vita Metrica', 'BHL 0775d | Elogium rhythmicum', 'BHL 0776 | Recognitiones corporis annis 1052, 1269 et 1324', 'BHL Audomarus |']",['Audomarus (365)'],
Augustinus01,Augustinus ep. Cantuariensis,homme,ecclésiastique,séculier,Augustinus ep. Cantuariensis,"['BHL 0777 | Vita auct. Iohanne Goscelino. Historia maior', 'BHL 0778 | Historia minor', 'BHL 0779 | Miracula auct. eodem. Historia maior', 'BHL 0780 | Historia minor', 'BHL 0781 | Translatio Augustini et aliorum SS., auct. eodem, libris 2', 'BHL 0782 | Vita', 'BHL 0783 | Vita', 'BHL 0784 | Vita Metrica', 'BHL Augustinus01 |']",['Augustinus (367)'],
Augustinus02,Augustinus ep. Hipponensis,homme,ecclésiastique,séculier,Augustinus ep. Hipponensis,"['BHL 0784a | Vita et conversio ex libris confessionum', 'BHL 0784b | Gesta a B. Augustino quando sibi successorem elegit', 'BHL 0785 | Vita auct. Possidio', 'BHL 0785a | Vita, om. prologo, inc. ""Igitur b. A. ex provincia ergo Africe, civitate Tagastensi""', 'BHL 0786 | Indiculus scriptorum omnium S. Augustini, auct. eodem', 'BHL 0787 | Vita (ex 1 et 2)', 'BHL 0788 | Vita (ex 2)', 'BHL 0788b | Vita, des. ""et iure quidem in apostolica est collocatus ecclesia... vigilanter annichilando frustravit, adiuvante..""', 'BHL 0788d | Vita', 'BHL 0788e | Vita', 'BHL 0789 | Vita (ex 2)', 'BHL 0789d | Vita', 'BHL 0790 | 5. Vita. Aliquando desinit paulo ante fidem :""Erat enim non solum eruditus scriba...', 'BHL 0791 | Vita auct. Ruperto Tuitiensi', 'BHL 0792 | Vita ex 2) et translationes', 'BHL 0792b | Translatio Ticinum', 'BHL 0793 | Vita et translationes auct. Philippo Harvengio. I. (Vita)', 'BHL 0794 | Vita et translationes auct. Philippo Harvengio. II. (Translationes)', 'BHL 0795 | Vita et translationes (ex 8) auct. Iordano Quedlinburgensi seu de Saxonia', 'BHL 0796 | Vita auct. Iacobo De Voragine', 'BHL 0796d | Excerpta e Leg. aurea', 'BHL 0797 | Vita auct. Ambrosio Coriolano', 'BHL 0798 | Vita auct. Nicolao Crayverwe de Beyernvliet, Libris 2', 'BHL 0798b | Vita, translationes, miracula auct. Augustino de Novis', 'BHL 0798d | Vita auct. Bartholomaeo Casciotti', 'BHL 0798f | Vita auct. Iohane Garzone', 'BHL 0798g | Prologus, inc. Si illius caelestis ac divinae domus""', 'BHL 0798k | Vita auct. anonymo Florentino', 'BHL 0799 | Vita Metrica', 'BHL 0799d | Hystoria almi patris et doctoris', 'BHL 0800 | Translatio in Sardiniam et inde Papiam, auct. Ps.-Oldrado', 'BHL 0800d | Translatio ad Sardiniam', 'BHL 0800f | Translatio ad Papiam', 'BHL 0800k | Translatio', 'BHL 0801 | De corde B. Augustini', 'BHL 0801d | Narratio de morte b. Augustini', 'BHL 0801g | Miraculum', 'BHL 0801h | Miracula', 'BHL 0801k | Miraculum', 'BHL Augustinus02 |']",['Augustinus (368)'],
Augustinus03,Augustinus ep. Lucerinus,homme,ecclésiastique,régulier,Augustinus ep. Lucerinus Ord. Praed.,"['BHL 0802 | Miracula', 'BHL 0803 | Miracula. b. (Mut. ?)', 'BHL Augustinus03 |']",['Augustinus (369)'],
Augustinus04,Augustinus Novellus,homme,ecclésiastique,régulier,Augustinus Novellus Ord. Erem. S. Aug. Senis,"['BHL 0804 | Vita', 'BHL Augustinus04 |']",['Augustinus (370)'],
Aunarius,Aunarius ep. Autisiodorensis,homme,ecclésiastique,séculier,Aunarius ep. Autisiodorensis,"['BHL 0805 | Vita', 'BHL 0806 | Vita', 'BHL Aunarius |']",['Aunarius (371)'],
Aurea01,Aurea m. Cordubae,femme,laïc,séculier,Aurea v. m. Cordubae,"['BHL 0807 | Passio', 'BHL Aurea01 |']",['Aurea (374)'],
Aurea02,Aurea et soc. m. ad Ostia Tiberina,mixte,laïc,séculier,"Aurea seu Chryse v., Censurinus et soc. m. ad Ostia Tiberina","['BHL 0808 | Passio. I. (Aureae)', 'BHL 0809 | Passio. II. (Ceterorum)', 'BHL 0809b | Passio', 'BHL 0809c | Passio. II', 'BHL 0810 | Passio. (Aureae)', 'BHL 0811 | Passio. (Aureae)', 'BHL 0812 | 3. Passio. II. (Ceterorum)', 'BHL 0813 | Passio', 'BHL 0813b | Passio', 'BHL 0813d | Passio', 'BHL Aurea02 |']","['Aurea (372)', 'Censurinus (659)']",
Aurea03,Aurea abb. Parisiis,femme,laïc,régulier,Aurea abb. Parisiis,"['BHL 0814 | Sermo De Vita', 'BHL 0815 | Sermo', 'BHL 0816 | Sermo', 'BHL 0817 | Vita', 'BHL Aurea03 |']",['Aurea (373)'],
Aurelia01,Aurelia v. Argentorati,femme,laïc,séculier,Aurelia v. Argentorati,"['BHL 0818 | Vita', 'BHL Aurelia01 |']",['Aurelia (375)'],
Aurelia02,Aurelia et Neomasia,femme,laïc,séculier,Aurelia et Neomasia v. m.,"['BHL 0817m | Passio et translatio Anagniam', 'BHL Aurelia02 |']","['Aurelia (3378)', 'Neomasia (3379)']",
Aurelia03,Aurelia reclusa Ratisbonae,femme,laïc,régulier,Aurelia reclusa Ratisbonae,['BHL Aurelia03 |'],['Aurelia (3380)'],
Aurelianus,Aurelianus ep. Ravennas,homme,ecclésiastique,séculier,Aurelianus ep. Ravennas,"['BHL 0818d | Vita', 'BHL Aurelianus |']",['Aurelianus (3762)'],
Aurelius,Aurelius patronus Hirsaugiensis,homme,ecclésiastique,séculier,Aurelius ep. Armenus patronus Hirsaugiensis,"['BHL 0819 | Vita et translatio', 'BHL 0820 | Vita et translatio auct. Willirammo ab. Ebersbergensi', 'BHL 0821 | Vitae (2) Epitome Auct. Trithemio', 'BHL 0822 | Translatio Hirsaugiam', 'BHL Aurelius |']",['Aurelius (376)'],
Aureus,"Aureus, Iustina et soc. m. Moguntiae",mixte,ecclésiastique,séculier,"Aureus ep., Iustina v. et soc. m. Moguntiae","['BHL 0823 | Passio Inventio, Translatio', 'BHL 0824 | Passio Inventio, Translatio', 'BHL 0825 | Miracula auct. Goswino', 'BHL 0826 | Passio, Inventio, Translatio, auct. Sigehardo', 'BHL Aureus |']","['Aureus (378)', 'Iustina (3822)']",
Ausonius,Ausonius ep. Engolismensis,homme,ecclésiastique,séculier,Ausonius ep. Engolismensis m.,"['BHL 0827 | Passio', 'BHL 0828 | Passio', 'BHL Ausonius |']",['Ausonius (379)'],
Auspicius,Auspicius ep. Aptensis,homme,ecclésiastique,séculier,Auspicius ep. Aptensis,"['BHL 0829 | Vita', 'BHL 0830 | Vita', 'BHL Auspicius |']",['Auspicius (380)'],
Austreberta,Austreberta abb. Pauliacensis,femme,laïc,régulier,Austreberta abb. Pauliacensis,"['BHL 0831 | Vita', 'BHL 0832 | Vita', 'BHL 0833 | Vita', 'BHL 0833a | Vita. Des. b', 'BHL 0834 | Miracula', 'BHL 0835 | Miracula', 'BHL 0836 | Miracula', 'BHL 0837 | Miracula', 'BHL 0838 | Miracula', 'BHL Austreberta |']",['Austreberta (381)'],
Austregisilus,Austregisilus ep. Bituricensis,homme,ecclésiastique,séculier,Austregisilus ep. Bituricensis,"['BHL 0839 | Vita', 'BHL 0840 | Vita', 'BHL 0841 | Miracula', 'BHL 0842 | Miracula', 'BHL 0843 | Miracula', 'BHL Austregisilus |']",['Austregisilus (382)'],
Austremonius,Austremonius ep. Arvernus,homme,ecclésiastique,séculier,Austremonius ep. Arvernus,"['BHL 0844 | Vita, Translationes, Miracula', 'BHL 0845 | Vita, Translationes, Miracula', 'BHL 0846 | (Translationes)', 'BHL 0847 | (Miracula)', 'BHL 0848 | Gesta perperam adscripta S. Praeiecto.  (Vita et Passio)', 'BHL 0849 | Translationes', 'BHL 0850 | Vita Metrica (In Vita 3,1 INSERT IGNORE a)', 'BHL 0851 | Miracula Iciodori Facta', 'BHL 0852 | Visio Lamfredi ab. (ubi de translatione)', 'BHL 0853 | Revelatio et translationes. I. (Revelatio)', 'BHL 0854 | (Translatio Prima)', 'BHL 0855 | (Translatio Secunda)', 'BHL 0856 | Recognitio reliquiarum an. 1197', 'BHL Austremonius |']",['Austremonius (383)'],
Austriclinianus,Austriclinianus discipulus S. Martialis,homme,ecclésiastique,séculier,Austriclinianus discipulus S. Martialis,"['BHL 0857 | Vita', 'BHL Austriclinianus |']",['Austriclinianus (384)'],
Autbertus01,Autbertus ep. Abrincensis,homme,ecclésiastique,séculier,Autbertus ep. Abrincensis,"['BHL 0858 | Vita', 'BHL 0859 | Translatio an. 1012', 'BHL 0860 | Miracula', 'BHL Autbertus01 |']",['Autbertus (385)'],
Autbertus02,Autbertus ep. Cameracensis,homme,ecclésiastique,séculier,Autbertus ep. Cameracensis,"['BHL 0861 | Vita (auct. Fulberto Carnotensi ?)', 'BHL 0862 | Vita rhythmica', 'BHL 0863 | Miracula', 'BHL 0864 | Miracula', 'BHL 0865 | Miracula', 'BHL 0866 | Miracula', 'BHL 0867 | Miracula', 'BHL 0868 | Miracula', 'BHL 0869 | Miracula', 'BHL 0870 | Miracula', 'BHL 0871 | Miracula', 'BHL 0872 | Miracula', 'BHL 0873 | Miracula', 'BHL 0874 | Miracula', 'BHL 0875 | Miracula', 'BHL 0876 | Miracula', 'BHL 0876a | Miracula. V.', 'BHL 0876d | Epitome Vita 1 (BHL 861)', 'BHL Autbertus02 |']",['Autbertus (386)'],
Auxanus,Auxanus ep. Mediolanensis,homme,ecclésiastique,séculier,Auxanus ep. Mediolanensis,['BHL Auxanus |'],['Auxanus (3381)'],
Aventinus,Aventinus erem. Trecis,homme,ecclésiastique,séculier,Aventinus presb. erem. Trecis,"['BHL 0877 | Vita', 'BHL 0878 | Miraculum', 'BHL Aventinus |']",['Aventinus (388)'],
Avertanus,Avertanus Ord. Carm.,homme,ecclésiastique,régulier,Avertanus (al. Albertanus) Ord. Carm.,['BHL Avertanus |'],['Avertanus (389)'],
Avitus01,Avitus Aurelianensis seu Miciacensis,homme,ecclésiastique,régulier,Avitus conf. Aurelianensis seu Miciacensis,"['BHL 0879 | Vita', 'BHL 0880 | Vita', 'BHL 0881 | Vita', 'BHL 0882 | Vita', 'BHL 0883 | Miraculum', 'BHL Avitus01 |']",['Avitus (390)'],
Avitus02,Avitus erem. in dioc. Sarlatensi,homme,ecclésiastique,régulier,Avitus erem. in dioc. Sarlatensi,"['BHL 0884 | Vita', 'BHL Avitus02 |']",['Avitus (391)'],
Avitus03,Avitus ep. Viennensis,homme,ecclésiastique,séculier,Avitus ep. Viennensis,"['BHL 0885 | Vita', 'BHL Avitus03 |']",['Avitus (392)'],
Avitus04,Avitus ep. Arvernus,homme,ecclésiastique,séculier,Avitus ep. Arvernus,"['BHL 0878b | Vita', 'BHL Avitus04 |']",['Avitus (3810)'],
Babolenus,Babolenus ab. Fossatensis,homme,ecclésiastique,régulier,Babolenus ab. Fossatensis,"['BHL 0886 | Vita', 'BHL 0887 | Miracula', 'BHL 0888 | Vita seu laudatio', 'BHL Babolenus |']",['Babolenus (393)'],
Babylas,Babylas ep. Antiochenus,homme,ecclésiastique,séculier,Babylas ep. Antiochenus m.,"['BHL 0889 | Passio', 'BHL 0890 | Passio', 'BHL 0890b | Passio deperdita', 'BHL 0890d | Lectiones ex passione 1 ( BHL 889)', 'BHL 0891 | Passio', 'BHL 0892 | Carmen Auct. Aldhelmo', 'BHL 0893 | Miracula', 'BHL Babylas |']",['Babylas (394)'],
Baculus,Baculus ep. Surrentinus,homme,ecclésiastique,séculier,Baculus ep. Surrentinus,"['BHL 0894 | Vita', 'BHL 0895 | Translatio et miracula', 'BHL Baculus |']",['Baculus (396)'],
Baithinus,Baithinus ab. Hiensis,homme,ecclésiastique,régulier,Baithinus ab. Hiensis,"['BHL 0896 | Vita', 'BHL Baithinus |']",['Baithinus (397)'],
Balbina,Balbina v. Romae,femme,laïc,séculier,Balbina v. Romae,['BHL Balbina |'],['Balbina (398)'],
Baldericus01,Baldericus conf. in Burgundia,homme,laïc,séculier,Baldericus conf. in Burgundia,"['BHL 0897 | Vita', 'BHL Baldericus01 |']",['Baldericus (399)'],
Baldericus02,Baldericus conf. in Monte-Falconis,homme,ecclésiastique,régulier,Baldericus conf. in Monte-Falconis in agro Remensi,"['BHL 0898 | Vita auct. Flodoardo (Hist. Rem., IV. 38-43)', 'BHL Baldericus02 |']",['Baldericus (400)'],
Baldomerus,Baldomerus subdiac. Lugdunensis,homme,ecclésiastique,séculier,Baldomerus subdiac. Lugdunensis,"['BHL 0899 | Vita', 'BHL Baldomerus |']",['Baldomerus (401)'],
Baldredus,Baldredus conf. in Scotia,homme,ecclésiastique,régulier,Baldredus conf. in Scotia,"['BHL 0900 | Vita', 'BHL 0900b | Carmen auct. Alcuino', 'BHL Baldredus |']",['Baldredus (402)'],
Balduinus01,Balduinus de Bocla,homme,ecclésiastique,régulier,Balduinus de Bocla ab. Baudeloensis,"['BHL 0901 | Vita', 'BHL Balduinus01 |']",['Balduinus (404)'],
Balduinus02,Balduinus archidiac. Laudunensis,homme,ecclésiastique,séculier,Balduinus archidiac. Laudunensis,"['BHL 0902 | Vita', 'BHL Balduinus02 |']",['Balduinus (405)'],
Balduinus03,Balduinus archiep. Cantuariensis,homme,ecclésiastique,séculier,Balduinus archiep. Cantuariensis,"['BHL 0901d | Vita auct. Giraldo Cambrensi', 'BHL Balduinus03 |']",['Balduinus (3382)'],
Baldus,Baldus paenitens,homme,laïc,régulier,Baldus paenitens apud Senones,"['BHL 0903 | Vita', 'BHL Baldus |']",['Baldus (403)'],
Balsemius,Balsemius m. Ramerude in dioec. Tricassina,homme,ecclésiastique,séculier,Balsemius m. Ramerude in dioec. Tricassina,"['BHL 0904 | Passio', 'BHL Balsemius |']",['Balsemius (406)'],
Balthildis,Balthildis regina,femme,laïc,séculier,Balthildis regina Francorum,"['BHL 0905 | Vita', 'BHL 0906 | Vita', 'BHL 0907 | Vita', 'BHL 0908 | Vita', 'BHL 0909 | Vita', 'BHL 0910 | Vita', 'BHL 0911 | Translatio an. 833', 'BHL Balthildis |']",['Balthildis (407)'],
Bandaridus,Bandaridus ep. Suessionensis,homme,ecclésiastique,séculier,Bandaridus ep. Suessionensis,"['BHL 0912 | Vita', 'BHL Bandaridus |']",['Bandaridus (408)'],
Barbara,Barbara m. Nicomediae,femme,laïc,séculier,Barbara v. m. Nicomediae,"['BHL 0912t | Passio', 'BHL 0912v | Passio (in aliis codicis)', 'BHL 0913 | Passio', 'BHL 0913a | Passio', 'BHL 0914 | Passio', 'BHL 0914d | Lectiones ex passione desumptae', 'BHL 0915 | Passio', 'BHL 0915b | Passio (""Redazione B""). Des. ""ita ut nec pulvis de eo remaneret. Consummavit autem...""', 'BHL 0916 | Passio', 'BHL 0917 | Passio', 'BHL 0917d | passio', 'BHL 0917e | passio', 'BHL 0917f | passio', 'BHL 0917g | passio', 'BHL 0917h | passio', 'BHL 0917m | Passio', 'BHL 0917n | Passio', 'BHL 0917p | Passio et translatio Reate', 'BHL 0917q | Passio et translatio Reate. b', 'BHL 0917r | Passio auct. Petro Ranzano', 'BHL 0918 | Legenda', 'BHL 0919 | Informatio ex Sacra Scriptura de genealogia sive origine BB. Barabarae', 'BHL 0920 | Passio', 'BHL 0920d | Informatio ex s. Scriptura de genealogia sive origine Bb. Barbarae...', 'BHL 0920f | vita et conversio', 'BHL 0921 | Passio', 'BHL 0921d | Passio', 'BHL 0921e | passio', 'BHL 0921f | Passio', 'BHL 0921g | vita et passio', 'BHL 0921h | vita et passio', 'BHL 0921j | passio et translationes', 'BHL 0921m | Passio in codice Luneburgensi (Theol. 2° 29, f. 277v-280v)', 'BHL 0921p | passio', 'BHL 0922 | Translatio Cpolim et inde Venetias et Torcellum. a. (auct. Petro Calo)', 'BHL 0922a | Passio et translationes auct. Petro calo', 'BHL 0923 | Translatio Cpolim et inde Venetias et Torcellum. b. (auct. Fantino Dandulo)', 'BHL 0924 | Translatio Cpolim et inde Venetias et Torcellum. c.', 'BHL 0925 | Translatio Cpolim et inde Venetias et Torcellum. d. Instrumentum', 'BHL 0926 | Inventio, translatio Romam et inde Placentiam', 'BHL 0927 | Inventio', 'BHL 0928 | Inventio reliquiarum', 'BHL 0929 | Inventio reliquiarum', 'BHL 0930 | Translatio Capitis in Pomeraniam', 'BHL 0931 | Translatio', 'BHL 0932 | Miracula', 'BHL 0933 | Miracula', 'BHL 0934 | Miracula', 'BHL 0935 | Miracula', 'BHL 0936 | Miracula', 'BHL 0937 | Miracula', 'BHL 0938 | Miracula', 'BHL 0939 | Miracula', 'BHL 0940 | Miracula', 'BHL 0941 | Miracula', 'BHL 0942 | Miracula', 'BHL 0943 | Miracula', 'BHL 0944 | Miracula', 'BHL 0945 | Miracula', 'BHL 0946 | Miracula', 'BHL 0947 | Miracula', 'BHL 0948 | Miracula', 'BHL 0949 | Miracula', 'BHL 0950 | Miracula', 'BHL 0951 | Miracula', 'BHL 0952 | Miracula', 'BHL 0953 | Miracula', 'BHL 0954 | Miracula', 'BHL 0955 | Miracula', 'BHL 0956 | Miracula', 'BHL 0957 | Miracula', 'BHL 0958 | Miracula', 'BHL 0959 | Miracula', 'BHL 0960 | Miracula', 'BHL 0961 | Miracula', 'BHL 0962 | Miracula', 'BHL 0963 | Miracula', 'BHL 0964 | Miracula', 'BHL 0965 | Miracula', 'BHL 0966 | Miracula', 'BHL 0967 | Miracula', 'BHL 0968 | Miracula', 'BHL 0969 | Miracula', 'BHL 0970 | 10. Miracula. XV. (auct. Theoderico Pauli)', 'BHL 0971 | Miracula', 'BHL 0971d | Miracula. XVII', 'BHL 0971e | Miracula. XVIII', 'BHL 0971f | Miracula. XIX', 'BHL 0971g | Miraculum in conuentu b. Barbarae in Algia an. 1347', 'BHL 0971m | Collectio miraculorum', 'BHL Barbara |']",['Barbara (409)'],
Barbarus,Barbarus m. Methone,homme,ecclésiastique,séculier,Barbarus m. Methone in Graecia,"['BHL 0971t | Passio', 'BHL Barbarus |']",['Barbarus (410)'],
Barbatianus,Barbatianus presb. Ravennae,homme,ecclésiastique,séculier,Barbatianus presb. Ravennae,"['BHL 0972 | Vita', 'BHL 0972b | vita', 'BHL Barbatianus |']",['Barbatianus (411)'],
Barbatus,Barbatus ep. Beneventanus,homme,ecclésiastique,séculier,Barbatus ep. Beneventanus,"['BHL 0973 | Vita', 'BHL 0973a | Vita. Des. ""et vixit annos 80. Obiit per confessionem XI kal. mart... Amen""', 'BHL 0974 | Vita', 'BHL 0975 | Translatio auct. Falcone', 'BHL Barbatus |']",['Barbatus (412)'],
Bardo,Bardo ep. Moguntinus,homme,ecclésiastique,séculier,Bardo ep. Moguntinus,"['BHL 0976 | Vita auct. Vulculdo', 'BHL 0977 | Vita', 'BHL Bardo |']",['Bardo (413)'],
Barga,Barga soc. S. Ursulae,femme,laïc,séculier,Barga v. m. soc. S. Ursulae,"['BHL 0978 | Corpus S. Ludovico regi transmissum', 'BHL Barga |']",['Barga (414)'],
Barlaam,Barlaam et Iosaphat,homme,ecclésiastique,régulier,Barlaam et Iosaphat apud Indos,"['BHL 0979 | Vita perperam adscripta Iohanni Damasceno', 'BHL 0979b | Vita interprete Euphemio', 'BHL 0980 | Epitome', 'BHL 0981 | Epitome', 'BHL 0981b | Epitomae. c*', 'BHL 0982 | Epitome', 'BHL 0982a | (auct. Hermano Bonon.)', 'BHL 0982b | Epitomae. e', 'BHL 0982d | Epitomae. f', 'BHL 0982e | Epitomae. g', 'BHL 0982f | Epitomae. h', 'BHL 0982h | Epitomae. k', 'BHL 0982m | lectiones', 'BHL 0982n | lectiones', 'BHL 0982p | Versus', 'BHL Barlaam |']","['Barlaam (415)', 'Iosaphat (1686)']",
Barnabas,Barnabas apost.,homme,ecclésiastique,séculier,Barnabas apost.,"['BHL 0983 | Vita', 'BHL 0984 | Vita', 'BHL 0985 | Vita et passio', 'BHL 0986 | Vita et Passio', 'BHL 0986b | Passio. Des. ""cum hymnis et laudibus mirifice collocatum est, ad laudem... Amen""', 'BHL 0986d | Passio. Contracta parte II, pars III inc. ""Huc usque... deflorare curavimus. Sed quia... cernere non valuit, cetera quae sequuntur et quo ordine...""', 'BHL 0987 | Epitomae vitae 2.', 'BHL 0988 | Epitomae vitae', 'BHL 0988b | Passio', 'BHL 0989 | Prima gesta et apostolatus Mediolanensis', 'BHL 0990 | De templo prope Mediolanum fundato', 'BHL Barnabas |']",['Barnabas (416)'],
Barnardus,Barnardus ep. Viennensis,homme,ecclésiastique,séculier,Barnardus ep. Viennensis,"['BHL 0991 | Vita S. Barnardus', 'BHL 0992 | Vita', 'BHL 0993 | Vita', 'BHL 0994 | Translatio', 'BHL 0995 | Miracula', 'BHL 0995d | lectiones', 'BHL Barnardus |']",['Barnardus (417)'],
Barontus,Barontus et Desiderius,homme,ecclésiastique,régulier,Barontus et Desiderius erem. Pistorii,"['BHL 0996 | Vita', 'BHL 0996a | Vita', 'BHL 0997 | Visio', 'BHL 0997a | Visio S. Baronti. Om. fine, des. b', 'BHL 0997b | Visio S. Baronti. b', 'BHL Barontus |']","['Barontus (418)', 'Desiderius (833)']",
Barsanorius,Barsanorius,homme,ecclésiastique,régulier,Barsanorius seu Barsanuphius solitarius in Palaestina,"['BHL 0998 | Vita', 'BHL 0999 | Vita', 'BHL 0999b | Vita', 'BHL 0999c | Vita', 'BHL 0999d | Vita', 'BHL 1000 | Translatio Uriam saec. XI et inventio an. 1170', 'BHL Barsanorius |']",['Barsanorius (419)'],
Bartholomaeus01,Bartholomaeus apost.,homme,ecclésiastique,séculier,Bartholomaeus apost.,"['BHL 1001 | Prologus in Acta', 'BHL 1002 | Passio', 'BHL 1002a | Passio. Des. b', 'BHL 1002b | Additamentum', 'BHL 1003 | Epilogus', 'BHL 1003t | Epistola anastasii bibliothecarii aioni ep. beneventano scripta', 'BHL 1003v | De translatione corporis B. Bartholomaei praefatio Anastasio bibliothecario adscripta', 'BHL 1003z | De translatione corporis B. Bartholomaei praefatio Anastasio Bibliothecario adscripta. Des. b', 'BHL 1004 | Sermo de vita et translatione in Liparim, auct. Theodoro Studita', 'BHL 1004b | Sermo de vita (recensio derivata). Inc. ""Quia sanctorum laus contexitur si maiore devotione martyr attollitur...""', 'BHL 1004d | Sermo de vita (recensio derivata). Des. ""sed credant scriptis et credentes referant Deo et Dno I. C. laudes et gratias qui...""', 'BHL 1005 | Sermo de vita et translatione in Liparim, auct. Theodoro Studita. b. (interprete Berthario Casinensi ?)', 'BHL 1005d | sermo bedae adscriptus', 'BHL 1006 | Translatio Beneventum', 'BHL 1007 | Translatio Beneventum. b. (auct. Berthario ?)', 'BHL 1008 | Translatio Liparim et inde Beneventum, auct. Martino mon.', 'BHL 1009 | Translatio Liparim et Beneventum et inde in Galliam', 'BHL 1010 | Translatio Beneventum et miracula', 'BHL 1011 | Translatio', 'BHL 1011d | translationes Liparim, Beneventum et Romam', 'BHL 1012 | Translatio Benevento Romam (Carmine)', 'BHL 1013 | Miraculum', 'BHL 1014 | Nota de genere Passionis', 'BHL 1014d | Nativitas fabulosa', 'BHL 1014e | Nativitas fabulosa. b', 'BHL Bartholomaeus01 |']",['Bartholomaeus (420)'],
